the_geom,cartodb_id,continent,n1,n2,n3,region,pleiadeslocationprecision,maxdate,mindate,timeperiodskeys,pleiadestitle,verified,type,notes,g_verified,url
0101000020E6100000D2AC6C1FF2D61B40D7A546E867784940,5120,Europe,Germania Inferior,Colonia Claudia Ara Agrippinensium,Atrium House,,,,,,,,,,,
0101000020E610000006BCCCB051F22C40AEF545425B624440,3721,Italy,Campania,Boscoreale,,Region I,precise,300,-30,roman,Boscoreale,verified,,,,
0101000020E610000058E6ADBA0EED2C4086AA984A3F634440,3722,Italy,Campania,Boscotrecase,,Region I,precise,300,-30,roman,Boscotrecase,verified,,,,
0101000020E610000057941282553D224069520ABABD9E4140,15857,Africa,Africa Proconsularis,Sufetula,House of the seasons,,precise,640,-30,"roman,late-antique",Sufetula,verified,,,,
0101000020E6100000B730C15F821913C0AB485C32D4F04240,5140,Europe,Hispania Baetica,Colonia Patricia Corduba,Fountain statues,,,,,,,unknown,,likely to be museum collection,,
0101000020E610000067D47C957C003D40E415889E94854440,5533,Asia,Syria,Daphne,Temple of Apollo,,precise,640,300,late-antique,Daphne,,,,,
0101000020E61000008A5B0531D0D141406BF294D5749D4040,5534,Asia,Syria,Daphne,Temple of Apollo,,precise,300,-30,roman,Daphne,,,,,
0101000020E6100000D6E6FF5547124240E75608ABB1104240,5535,Asia,Syria,Daphne,Temple of Apollo,,precise,640,-330,"hellenistic-republican,roman,late-antique",Daphne,,,,,
0101000020E61000001118EB1B98AC3C40BC3FDEAB56304440,5574,Asia,Phrygia,Daskyleion,Satrapal Estate,,precise,300,-550,"classical,hellenistic-republican,roman",Daskyleion,,,,,
0101000020E61000008D3CF7BB031A17C035BF7184520B4240,3016,Europe,Hispania Baetica,Baelo Claudia,West House,,,,,,,locality,,,Verified,
0101000020E6100000C4CCC2C7F5A108C0A184DBD251F14240,14056,Europe,Hispania Baetica,Quesada,Villa Brunel,,,,,,,close,,,Verified,
0101000020E6100000D5EB1681B11EF93FE69C12EF84984440,4060,Europe,Hispania Tarraconensis,Calafell,Vilarenc,,,,,,,unknown,,the coordinates in GRE are wrong / can't find,Approximate,
0101000020E61000005945EA03EA09DBBF5F3B202218AA4540,3390,Europe,Gallia Aquitania,Beneharnum,Villa de Saint-Michel,,precise,640,-30,"roman,late-antique",Beneharnum,,,,Verified,
0101000020E610000055DEAF7E4353E63FC82743D984164640,4373,Europe,Gallia Aquitania,Castelculier,Villa Lamarque,,rough,,,,,,,,Verified,
0101000020E610000045DAC69FA8ACE4BF89D2DEE00B8D4640,3598,Europe,Gallia Aquitania,Blacciacum,Villa de Plassac,,precise,640,-30,"roman,late-antique",Blacciacum,,,,Verified,
0101000020E610000015B24EF0A8D419409D83674293BF4840,3701,Europe,Gallia Belgica,Borg,Villa Borg,,precise,,,,,,,,Verified,
0101000020E61000009AD2FA5B02103C40C7D8092FC1114440,5575,Asia,Phrygia,Daskyleion,Satrapal Estate,,precise,300,-750,"archaic,classical,hellenistic-republican,roman",Daskyleion,,,,,
0101000020E6100000FB95CE876745394002B859BC58B24240,5654,Europe,Achaia,Delos,Kitchen/Commercial gardens,,precise,-330,-550,classical,Delos,,,,,
0101000020E6100000D064FF3C0D5A3B402B65BE28E6F84240,6337,Asia,Asia,Ephesus,Terrace Houses,,precise,640,-750,"archaic,classical,hellenistic-republican,roman,late-antique",Ephesus,verified,,,,
0101000020E61000001AFF999C358C42C057981991839D1FC0,6479,Europe,Lusitania,Estoi,Villa Milreu,,,,,,,,,,,
,5758,Europe,Gallia Narbonensis,Die,Tomb garden of P. Calistus,,,,,,,,,,,
0101000020E6100000CDCCCCCCCC8C3E40427A8A1C22623D40,6527,Africa,Aegyptus,Euhemeria,Fayum,,,,,,,locality,,,,
0101000020E6100000363CBD5296E120400A68226C788A4640,17019,Italy,Vardagate,Tomb garden of V. Hermes,,Region IX,,,,,,locality,,,,
,5863,Europe,Gallia Belgica,Divodurum Mediomatricorum,Villa de Larry,,,,,,,,,,,
,5864,Europe,Gallia Belgica,Divodurum Mediomatricorum,House of the Arsenal,,,,,,,,,,,
,5865,Europe,Gallia Belgica,Divodurum Mediomatricorum,Villa des Rouaux,,,,,,,,,,,
,6098,Europe,Gallia Belgica,Echternach,Rural Villa,,,,,,,,,,,
,6143,Asia,Iudaea,Ein Gedi,Balsam Groves,,,,,,,,,,,
,6154,Europe,Pannonia,Eisenstadt,Rural Villa,,,,,,,,,,,
0101000020E61000009BABE639228F2C4027C11BD2A8C84240,6306,Europe,Silicia,Enna,Villa near Piazza Armerina,,precise,640,-550,"classical,hellenistic-republican,roman,late-antique",Enna,,,,,
0101000020E6100000399CF9D51C503F408B87F71C58123E40,18084,Africa,Aegyptus,Kanopos,Alexandria,,precise,,,,,,,,,
0101000020E6100000A3E6ABE4636F364027D87F9D9B8A4240,2814,Europe,Achaia,Aulis,Sanctuary of Artemis,,precise,640,-750,"archaic,classical,hellenistic-republican,roman,late-antique",Aulis,verified,,,,
0101000020E6100000082805C4C18D2940D982B59C91F84440,5346,Italy,Villa Adriana,Courtyard in Republican Villa,,Region IV,,,,,,verified,,,,
0101000020E6100000AD342905DD6A3E40B97020240B683D40,5820,Africa,Aegyptus,Dionysias,Fayum,,precise,640,-330,"hellenistic-republican,roman,late-antique",Dionysias,close,,,,
0101000020E61000000000003AA444394042054D4CA2B24240,5653,Europe,Achaia,Delos,Kitchen/Commercial gardens,,precise,300,-750,"archaic,classical,hellenistic-republican,roman",Delos,,,,,
0101000020E610000000000094A444394042054D4CA2B24240,5655,Europe,Achaia,Delos,Peristyle gardens,,precise,300,-750,"archaic,classical,hellenistic-republican,roman",Delos,,,,,
0101000020E6100000FFFFFF0B6845394012D40DE058B24240,5656,Europe,Achaia,Delos,Peristyle gardens,,precise,-330,-550,classical,Delos,,,,,
0101000020E61000002D3F709527A83640FFB3E6C75FB04240,6494,Europe,Achaia,Eua,Villa of Herodes Atticus,,precise,300,-550,"classical,hellenistic-republican,roman",Eua,verified,,,,
0101000020E6100000027E8D2441202F406422A5D93C624740,6710,Europe,Noricum,Flavia Solva,"Urban House, Insula 9",,precise,640,-30,"roman,late-antique",Flavia Solva,,,,,
,6717,Europe,Gallia Belgica,Fliessem-Otrang,Rural Villa,,,,,,,,,,,
0101000020E610000005323B8BDEDD2A40A3CEDC43C20B4740,6762,Europe,Gallia Narbonensis,Forum Iulii,Edifice of St. Antoine's Mound,,precise,640,-30,"roman,late-antique",Forum Iulii,,,,,
0101000020E610000005323B8BDEDD2A40A3CEDC43C20B4740,6763,Europe,Gallia Narbonensis,Forum Iulii,Edifice of Platform,,precise,640,-30,"roman,late-antique",Forum Iulii,,,,,
0101000020E610000005323B8BDEDD2A40A3CEDC43C20B4740,6764,Europe,Gallia Narbonensis,Forum Iulii,House on Formige Square,,precise,640,-30,"roman,late-antique",Forum Iulii,,,,,
0101000020E610000005323B8BDEDD2A40A3CEDC43C20B4740,6765,Europe,Gallia Narbonensis,Forum Iulii,"Tower Enclosure, House IIIA",,precise,640,-30,"roman,late-antique",Forum Iulii,,,,,
,6816,Europe,Germania Superior,Friedberg-Pfingstweide,Rural Villa,,,,,,,,,,,
0101000020E6100000F47619387FF704C02D120B63A8D54440,5384,Europe,Hispania Tarraconensis,Cuevas de Sona,Villa Dehesa de Soria,,,,,,,close,,,Verified,
0101000020E61000000BD1217024F80840C104C99640114540,6289,Europe,Hispania Tarraconensis,Emporiae,House of Peristyle,,precise,640,-750,"archaic,classical,hellenistic-republican,roman,late-antique",Emporiae,,,,Verified,
0101000020E61000003340166027F60840EE42528F5D114540,6288,Europe,Hispania Tarraconensis,Emporiae,House of L-shaped cistern,,precise,640,-750,"archaic,classical,hellenistic-republican,roman,late-antique",Emporiae,,,,Verified,
0101000020E6100000D2A19948E5F5084048D3C9E74F114540,6287,Europe,Hispania Tarraconensis,Emporiae,House of the Mosaic,,precise,640,-750,"archaic,classical,hellenistic-republican,roman,late-antique",Emporiae,,,,Verified,
0101000020E610000006C98ECF5CF60840899CF84939114540,6286,Europe,Hispania Tarraconensis,Emporiae,N7 domus H,,precise,640,-750,"archaic,classical,hellenistic-republican,roman,late-antique",Emporiae,,,,Verified,
0101000020E61000003A164640A6F10840B85EEC2023114540,6285,Europe,Hispania Tarraconensis,Emporiae,House R2,,precise,640,-750,"archaic,classical,hellenistic-republican,roman,late-antique",Emporiae,,,,Verified,
0101000020E6100000FA60191BBAD9D8BFAB59677C5FA24540,8592,Europe,Gallia Aquitania,Jurancon,Villa at Pont d'Oly,,"rough
",,,,,,,,Approximate,
0101000020E61000004DDBBFB2D264F03F4A438D42921F4640,6636,Europe,Gallia Aquitania,Fauroux,Sas-de-Marty,,rough,,,,,,,,Approximate,
0101000020E6100000F6A24D40D9211040E9BC84127FA04840,6024,Europe,Gallia Belgica,Durocortorum,House on Rue des Capucins,,precise,640,-330,"hellenistic-republican,roman,late-antique",Durocortorum,,,,Approximate,
0101000020E6100000B8791D50BA21104098B713BA85A04840,6022,Europe,Gallia Belgica,Durocortorum,House of the Ram,,precise,640,-330,"hellenistic-republican,roman,late-antique",Durocortorum,,,,Approximate,
0101000020E6100000EF654FC07E2910404DFD932A97A04840,6023,Europe,Gallia Belgica,Durocortorum,House aux Fleurons,,precise,640,-330,"hellenistic-republican,roman,late-antique",Durocortorum,,,,Approximate,
0101000020E610000082583673486A2540261E5036E5A54140,16852,Africa,Africa Proconsularis,Thysdrus,Sollertianna Domus,,precise,640,-330,"hellenistic-republican,roman,late-antique",Thysdrus,verified,,,,
0101000020E6100000F88903E8F78D2940259D581266F84440,6971,Italy,Villa Adriana,Garden between nymphaeum and praetorium,,Region IV,,,,,,verified,,,,
0101000020E610000082AD122C0E4725406D7022FAB5E94140,7412,Africa,Africa Proconsularis,Hadrumetum,House of Vergil,,precise,640,-330,"hellenistic-republican,roman,late-antique",Hadrumetum,close,,,,
0101000020E6100000A29BDC73898E2940C7E867874BF84440,6979,Italy,Villa Adriana,Garden of the Tomb,,Region IV,,,,,,locality,,,,
0101000020E6100000000000AC528D2940B4B60AEAB4F84440,6984,Italy,Villa Adriana,Garden under the library terrace,,Region IV,,,,,,verified,,,,
0101000020E610000000000070268C294011F019926EF84440,6977,Italy,Villa Adriana,Garden of Antinous' tomb,,Region IV,,,,,,verified,,,,
0101000020E61000000000002E2D3129400996E401A2104540,10284,Italy,Latium,Lucus Feroniae,,Region I,precise,640,-550,"classical,hellenistic-republican,roman,late-antique",Lucus Feroniae,verified,,,,
,7174,Europe,Gallia Narbonensis,Gilly-sur-Isere,Villa du Grand Verger,,,,,,,,,,,
0101000020E6100000C3D8429083FA3F4008043A9336D34340,7250,Asia,Phrygia,Gordion,Midas' Tomb,,precise,640,-750,"archaic,classical,hellenistic-republican,roman,late-antique",Gordion,,,,,
